"code_departement","annee","type_alerte","nb_alertes"
"01",2010,"Gel",151
"02",2010,"Gel",120
"03",2010,"Gel",134
"04",2010,"Gel",236
"05",2010,"Gel",269
"06",2010,"Gel",226
"07",2010,"Gel",161
"08",2010,"Gel",131
"09",2010,"Gel",203
"10",2010,"Gel",115
"12",2010,"Gel",168
"14",2010,"Gel",112
"15",2010,"Gel",167
"16",2010,"Gel",103
"17",2010,"Gel",95
"18",2010,"Gel",114
"19",2010,"Gel",140
"21",2010,"Gel",125
"22",2010,"Gel",97
"23",2010,"Gel",139
"24",2010,"Gel",97
"25",2010,"Gel",179
"26",2010,"Gel",161
"27",2010,"Gel",110
"28",2010,"Gel",127
"29",2010,"Gel",93
"2A",2010,"Gel",150
"2A",2010,"Inondation",31
"2B",2010,"Gel",144
"2B",2010,"Inondation",22
"30",2010,"Gel",171
"31",2010,"Gel",196
"33",2010,"Gel",108
"35",2010,"Gel",97
"36",2010,"Gel",107
"37",2010,"Gel",100
"38",2010,"Gel",275
"39",2010,"Gel",162
"41",2010,"Gel",117
"42",2010,"Gel",167
"43",2010,"Gel",179
"45",2010,"Gel",102
"48",2010,"Gel",185
"49",2010,"Gel",90
"50",2010,"Gel",95
"51",2010,"Gel",130
"52",2010,"Gel",141
"53",2010,"Gel",107
"54",2010,"Gel",128
"55",2010,"Gel",126
"56",2010,"Gel",103
"57",2010,"Gel",133
"58",2010,"Gel",127
"59",2010,"Gel",94
"60",2010,"Gel",113
"61",2010,"Gel",125
"62",2010,"Gel",92
"63",2010,"Gel",179
"64",2010,"Gel",180
"65",2010,"Gel",251
"66",2010,"Gel",215
"67",2010,"Gel",145
"68",2010,"Gel",156
"69",2010,"Gel",121
"70",2010,"Gel",159
"71",2010,"Gel",128
"72",2010,"Gel",97
"73",2010,"Gel",283
"73",2010,"Inondation",14
"74",2010,"Gel",350
"75",2010,"Gel",84
"76",2010,"Gel",92
"77",2010,"Gel",106
"78",2010,"Gel",99
"79",2010,"Gel",95
"80",2010,"Gel",109
"81",2010,"Gel",117
"84",2010,"Gel",159
"86",2010,"Gel",101
"87",2010,"Gel",116
"88",2010,"Gel",145
"89",2010,"Gel",117
"90",2010,"Gel",148
"91",2010,"Gel",96
"95",2010,"Gel",91
"05",2010,"Inondation",16
"11",2010,"Gel",119
"13",2010,"Gel",95
"32",2010,"Gel",87
"34",2010,"Gel",108
"40",2010,"Gel",89
"44",2010,"Gel",81
"46",2010,"Gel",104
"47",2010,"Gel",101
"82",2010,"Gel",92
"83",2010,"Gel",120
"85",2010,"Gel",83
"92",2010,"Gel",62
"93",2010,"Gel",72
"94",2010,"Gel",69
"11",2010,"Inondation",14
"13",2010,"Inondation",7
"66",2010,"Inondation",19
"83",2010,"Inondation",21
"84",2010,"Inondation",17
"30",2010,"Inondation",30
"50",2010,"Inondation",7
"07",2010,"Inondation",26
