"departement","annee","nb_nouveaux_exploitants"
"01",2010,7
"01",2011,7
"01",2012,16
"01",2013,12
"01",2014,4
"01",2015,11
"01",2016,21
"01",2017,29
"01",2018,32
"01",2019,34
"01",2020,28
"01",2021,30
"01",2022,30
"01",2023,19
"01",2024,32
"02",2010,5
"02",2011,6
"02",2012,7
"02",2013,4
"02",2014,4
"02",2015,7
"02",2016,11
"02",2017,17
"02",2018,15
"02",2019,32
"02",2020,36
"02",2021,30
"02",2022,8
"02",2023,9
"02",2024,6
"03",2010,14
"03",2011,10
"03",2012,6
"03",2013,7
"03",2014,7
"03",2015,20
"03",2016,20
"03",2017,26
"03",2018,20
"03",2019,15
"03",2020,22
"03",2021,24
"03",2022,35
"03",2023,23
"03",2024,30
"04",2010,30
"04",2011,19
"04",2012,15
"04",2013,17
"04",2014,25
"04",2015,32
"04",2016,21
"04",2017,22
"04",2018,28
"04",2019,41
"04",2020,51
"04",2021,44
"04",2022,45
"04",2023,61
"04",2024,52
"05",2010,13
"05",2011,8
"05",2012,15
"05",2013,11
"05",2014,16
"05",2015,29
"05",2016,27
"05",2017,52
"05",2018,29
"05",2019,24
"05",2020,26
"05",2021,49
"05",2022,35
"05",2023,56
"05",2024,39
"06",2010,17
"06",2011,10
"06",2012,9
"06",2013,10
"06",2014,15
"06",2015,9
"06",2016,21
"06",2017,13
"06",2018,25
"06",2019,28
"06",2020,38
"06",2021,38
"06",2022,47
"06",2023,62
"06",2024,52
"07",2010,47
"07",2011,35
"07",2012,44
"07",2013,27
"07",2014,43
"07",2015,37
"07",2016,58
"07",2017,59
"07",2018,67
"07",2019,78
"07",2020,92
"07",2021,89
"07",2022,114
"07",2023,103
"07",2024,100
"08",2010,11
"08",2011,16
"08",2012,5
"08",2013,2
"08",2014,6
"08",2015,7
"08",2016,15
"08",2017,17
"08",2018,16
"08",2019,13
"08",2020,12
"08",2021,13
"08",2022,15
"08",2023,9
"08",2024,6
"09",2010,31
"09",2011,14
"09",2012,10
"09",2013,13
"09",2014,15
"09",2015,41
"09",2016,41
"09",2017,37
"09",2018,47
"09",2019,51
"09",2020,74
"09",2021,72
"09",2022,85
"09",2023,114
"09",2024,150
"10",2010,11
"10",2011,10
"10",2012,3
"10",2013,1
"10",2014,8
"10",2015,11
"10",2016,19
"10",2017,12
"10",2018,29
"10",2019,29
"10",2020,50
"10",2021,50
"10",2022,12
"10",2023,17
"10",2024,13
"11",2010,40
"11",2011,35
"11",2012,22
"11",2013,31
"11",2014,29
"11",2015,63
"11",2016,68
"11",2017,66
"11",2018,111
"11",2019,127
"11",2020,143
"11",2021,169
"11",2022,108
"11",2023,121
"11",2024,108
"12",2010,37
"12",2011,22
"12",2012,15
"12",2013,13
"12",2014,23
"12",2015,67
"12",2016,121
"12",2017,83
"12",2018,54
"12",2019,71
"12",2020,72
"12",2021,79
"12",2022,76
"12",2023,83
"12",2024,98
"13",2010,43
"13",2011,49
"13",2012,36
"13",2013,31
"13",2014,37
"13",2015,35
"13",2016,45
"13",2017,68
"13",2018,90
"13",2019,92
"13",2020,111
"13",2021,104
"13",2022,63
"13",2023,82
"13",2024,79
"14",2010,27
"14",2011,14
"14",2012,9
"14",2013,7
"14",2014,16
"14",2015,27
"14",2016,34
"14",2017,41
"14",2018,36
"14",2019,37
"14",2020,39
"14",2021,51
"14",2022,27
"14",2023,30
"14",2024,30
"15",2010,12
"15",2011,7
"15",2012,7
"15",2013,7
"15",2014,7
"15",2015,23
"15",2016,40
"15",2017,39
"15",2018,23
"15",2019,31
"15",2020,13
"15",2021,19
"15",2022,26
"15",2023,30
"15",2024,20
"16",2010,12
"16",2011,7
"16",2012,4
"16",2013,5
"16",2014,11
"16",2015,24
"16",2016,31
"16",2017,22
"16",2018,34
"16",2019,27
"16",2020,39
"16",2021,49
"16",2022,20
"16",2023,27
"16",2024,31
"17",2010,12
"17",2011,17
"17",2012,11
"17",2013,8
"17",2014,3
"17",2015,15
"17",2016,39
"17",2017,34
"17",2018,40
"17",2019,47
"17",2020,57
"17",2021,40
