annee,code_departement,type_alerte,nb_alertes
2010,01,Gel,151
2010,02,Gel,120
2010,03,Gel,134
2010,04,Gel,236
2010,05,Gel,269
2010,06,Gel,226
2010,07,Gel,161
2010,08,Gel,131
2010,09,Gel,203
2010,10,Gel,115
2010,12,Gel,168
2010,14,Gel,112
2010,15,Gel,167
2010,16,Gel,103
2010,17,Gel,95
2010,18,Gel,114
2010,19,Gel,140
2010,21,Gel,125
2010,22,Gel,97
2010,23,Gel,139
2010,24,Gel,97
2010,25,Gel,179
2010,26,Gel,161
2010,27,Gel,110
2010,28,Gel,127
2010,29,Gel,93
2010,2A,Gel,150
2010,2A,Inondation,31
2010,2B,Gel,144
2010,2B,Inondation,22
2010,30,Gel,171
2010,31,Gel,196
2010,33,Gel,108
2010,35,Gel,97
2010,36,Gel,107
2010,37,Gel,100
2010,38,Gel,275
2010,39,Gel,162
2010,41,Gel,117
2010,42,Gel,167
2010,43,Gel,179
2010,45,Gel,102
2010,48,Gel,185
2010,49,Gel,90
2010,50,Gel,95
2010,51,Gel,130
2010,52,Gel,141
2010,53,Gel,107
2010,54,Gel,128
2010,55,Gel,126
2010,56,Gel,103
2010,57,Gel,133
2010,58,Gel,127
2010,59,Gel,94
2010,60,Gel,113
2010,61,Gel,125
2010,62,Gel,92
2010,63,Gel,179
2010,64,Gel,180
2010,65,Gel,251
2010,66,Gel,215
2010,67,Gel,145
2010,68,Gel,156
2010,69,Gel,121
2010,70,Gel,159
2010,71,Gel,128
2010,72,Gel,97
2010,73,Gel,283
2010,73,Inondation,14
2010,74,Gel,350
2010,75,Gel,84
2010,76,Gel,92
2010,77,Gel,106
2010,78,Gel,99
2010,79,Gel,95
2010,80,Gel,109
2010,81,Gel,117
2010,84,Gel,159
2010,86,Gel,101
2010,87,Gel,116
2010,88,Gel,145
2010,89,Gel,117
2010,90,Gel,148
2010,91,Gel,96
2010,95,Gel,91
2010,05,Inondation,16
2010,11,Gel,119
2010,13,Gel,95
2010,32,Gel,87
2010,34,Gel,108
2010,40,Gel,89
2010,44,Gel,81
2010,46,Gel,104
2010,47,Gel,101
2010,82,Gel,92
2010,83,Gel,120
2010,85,Gel,83
2010,92,Gel,62
2010,93,Gel,72
2010,94,Gel,69
2010,11,Inondation,14
2010,13,Inondation,7
2010,66,Inondation,19
2010,83,Inondation,21
2010,84,Inondation,17
2010,30,Inondation,30
2010,50,Inondation,7
2010,07,Inondation,26
2010,09,Inondation,12
2010,12,Inondation,11
2010,31,Inondation,11
2010,34,Inondation,22
2010,40,Inondation,10
2010,48,Inondation,24
2010,64,Inondation,22
2010,65,Inondation,17
2010,01,Inondation,13
2010,15,Inondation,19
2010,38,Inondation,20
2010,81,Inondation,12
2010,06,Inondation,22
2010,29,Inondation,12
2010,68,Inondation,14
2010,74,Inondation,16
2010,90,Inondation,7
2010,22,Inondation,7
2010,56,Inondation,9
2010,64,Sécheresse,110
2010,2A,Sécheresse,147
2010,04,Inondation,14
2010,40,Sécheresse,126
2010,09,Sécheresse,113
2010,31,Sécheresse,107
2010,65,Sécheresse,102
2010,07,Sécheresse,133
2010,23,Inondation,11
2010,87,Inondation,8
2010,46,Sécheresse,117
2010,26,Inondation,14
2010,11,Sécheresse,138
2010,26,Sécheresse,129
2010,30,Sécheresse,147
2010,34,Sécheresse,142
2010,66,Sécheresse,148
2010,83,Sécheresse,144
2010,16,Sécheresse,100
2010,24,Sécheresse,115
2010,33,Sécheresse,119
2010,47,Sécheresse,112
2010,13,Sécheresse,133
2010,36,Sécheresse,95
2010,81,Sécheresse,116
2010,82,Sécheresse,117
2010,84,Sécheresse,137
2010,04,Sécheresse,123
2010,12,Sécheresse,108
2010,17,Sécheresse,94
2010,19,Sécheresse,98
2010,32,Sécheresse,112
2010,38,Sécheresse,108
2010,42,Sécheresse,107
2010,48,Sécheresse,98
2010,15,Sécheresse,99
2010,43,Sécheresse,80
2010,69,Sécheresse,101
2010,03,Sécheresse,91
2010,08,Sécheresse,67
2010,18,Sécheresse,88
2010,25,Sécheresse,75
2010,27,Sécheresse,72
2010,39,Sécheresse,81
2010,41,Sécheresse,83
2010,45,Sécheresse,79
2010,51,Sécheresse,64
2010,52,Sécheresse,68
2010,58,Sécheresse,88
2010,68,Sécheresse,74
2010,70,Sécheresse,72
2010,71,Sécheresse,92
2010,72,Sécheresse,82
2010,73,Sécheresse,94
2010,75,Sécheresse,72
2010,88,Sécheresse,69
2010,89,Sécheresse,87
2010,92,Sécheresse,69
2010,94,Sécheresse,74
2010,95,Sécheresse,81
2010,01,Sécheresse,92
2010,02,Sécheresse,57
2010,05,Sécheresse,109
2010,21,Sécheresse,67
2010,55,Sécheresse,57
2010,57,Sécheresse,61
2010,67,Sécheresse,64
2010,74,Sécheresse,80
2010,90,Sécheresse,51
2010,06,Sécheresse,125
2010,2B,Sécheresse,135
2010,10,Sécheresse,71
2010,14,Sécheresse,57
2010,22,Sécheresse,56
2010,23,Sécheresse,67
2010,28,Sécheresse,75
2010,29,Sécheresse,44
2010,35,Sécheresse,60
2010,37,Sécheresse,85
2010,44,Sécheresse,76
2010,49,Sécheresse,84
2010,50,Sécheresse,43
2010,53,Sécheresse,72
2010,56,Sécheresse,61
2010,59,Sécheresse,47
2010,60,Sécheresse,52
2010,61,Sécheresse,59
2010,62,Sécheresse,41
2010,63,Sécheresse,75
2010,76,Sécheresse,55
2010,77,Sécheresse,68
2010,78,Sécheresse,67
2010,79,Sécheresse,94
2010,80,Sécheresse,48
2010,85,Sécheresse,82
2010,86,Sécheresse,87
2010,87,Sécheresse,78
2010,91,Sécheresse,66
2010,93,Sécheresse,65
2010,54,Sécheresse,49
2010,42,Inondation,9
2010,32,Inondation,7
2010,63,Inondation,17
2010,02,Inondation,7
2010,60,Inondation,4
2010,76,Inondation,4
2010,10,Inondation,3
2010,19,Inondation,9
2010,57,Inondation,4
2010,70,Inondation,9
2010,39,Inondation,13
2010,21,Inondation,7
2010,25,Inondation,11
2010,43,Inondation,10
2010,69,Inondation,6
2010,03,Inondation,7
2010,24,Inondation,5
2010,46,Inondation,9
2010,47,Inondation,2
2010,58,Inondation,7
2010,71,Inondation,10
2010,82,Inondation,5
2010,88,Inondation,11
2010,14,Inondation,5
2010,27,Inondation,3
2010,28,Inondation,3
2010,41,Inondation,4
2010,54,Inondation,3
2010,61,Inondation,3
2010,85,Inondation,2
2010,86,Inondation,2
2010,36,Inondation,3
2010,75,Inondation,3
2010,78,Inondation,3
2010,94,Inondation,3
2010,16,Inondation,2
2010,17,Inondation,3
2010,33,Inondation,3
2010,67,Inondation,5
2010,18,Inondation,1
2010,77,Inondation,4
2010,89,Inondation,4
2010,59,Inondation,4
2010,91,Inondation,1
2010,92,Inondation,1
2010,93,Inondation,2
2010,95,Inondation,2
2010,45,Inondation,6
2010,51,Inondation,3
2010,08,Inondation,3
2010,52,Inondation,3
2010,55,Inondation,4
2010,80,Inondation,5
2010,35,Inondation,2
2010,37,Inondation,2
2010,44,Inondation,3
